frame,path,width,height,teacher_det,teacher_conf,teacher_x1,teacher_y1,teacher_x2,teacher_y2,teacher_iou_prev,student_pre_det,student_pre_conf,student_pre_x1,student_pre_y1,student_pre_x2,student_pre_y2,student_pre_iou_prev,student_post_det,student_post_conf,student_post_x1,student_post_y1,student_post_x2,student_post_y2,student_post_iou_prev,pseudo_accepted,update_applied,loss_total,loss_box,loss_cls,loss_dfl,latency_teacher_ms,latency_student_pre_ms,latency_student_post_ms
36,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00037.jpg,1936,1216,1,0.641120,755.573,0.399,1918.920,643.078,0.495306,1,0.640787,755.522,0.403,1918.903,643.085,0.495301,1,0.640787,755.522,0.403,1918.903,643.085,0.495301,0,0,,,,,11.821,11.550,11.689
37,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00038.jpg,1936,1216,1,0.707171,609.874,1.258,1905.337,628.505,0.859529,1,0.706921,609.881,1.258,1905.380,628.475,0.859573,1,0.706921,609.881,1.258,1905.380,628.475,0.859573,0,0,,,,,12.718,12.211,12.120
38,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00039.jpg,1936,1216,1,0.582486,734.366,456.695,1160.812,1079.622,0.072907,1,0.582240,734.371,456.684,1160.797,1079.513,0.072900,1,0.582240,734.371,456.684,1160.797,1079.513,0.072900,0,0,,,,,12.757,11.989,12.785
39,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00040.jpg,1936,1216,1,0.654011,691.757,0.000,1930.423,1211.252,0.177057,1,0.653855,691.750,0.000,1930.421,1211.234,0.177023,1,0.653855,691.750,0.000,1930.421,1211.234,0.177023,0,0,,,,,13.002,12.465,12.333
40,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00041.jpg,1936,1216,1,0.810293,696.074,0.000,1926.329,1216.000,0.989358,1,0.809967,696.050,0.000,1926.327,1216.000,0.989357,1,0.809967,696.050,0.000,1926.327,1216.000,0.989357,0,0,,,,,11.985,11.866,11.756
41,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00042.jpg,1936,1216,1,0.807596,679.016,0.000,1926.530,1216.000,0.986165,1,0.807445,679.031,0.000,1926.528,1216.000,0.986196,1,0.807445,679.031,0.000,1926.528,1216.000,0.986196,0,0,,,,,12.600,13.114,12.193
42,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00043.jpg,1936,1216,1,0.755083,660.295,0.000,1936.000,1216.000,0.977902,1,0.754821,660.371,0.000,1936.000,1216.000,0.977947,1,0.754821,660.371,0.000,1936.000,1216.000,0.977947,0,0,,,,,12.703,11.868,12.218
43,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00044.jpg,1936,1216,1,0.755083,660.295,0.000,1936.000,1216.000,1.000000,1,0.754821,660.371,0.000,1936.000,1216.000,1.000000,1,0.754821,660.371,0.000,1936.000,1216.000,1.000000,0,0,,,,,13.453,12.402,12.006
44,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00045.jpg,1936,1216,1,0.492458,765.575,449.048,1205.971,1146.575,0.198025,1,0.492311,765.575,449.061,1205.974,1146.535,0.198023,1,0.492311,765.575,449.061,1205.974,1146.535,0.198023,0,0,,,,,11.609,12.845,11.886
45,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00046.jpg,1936,1216,1,0.195125,501.235,0.000,1936.000,1216.000,0.176072,1,0.194846,501.006,0.000,1936.000,1216.000,0.176031,1,0.194846,501.006,0.000,1936.000,1216.000,0.176031,0,0,,,,,12.501,12.305,11.970
46,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00047.jpg,1936,1216,1,0.510025,599.366,0.000,1936.000,1216.000,0.931605,1,0.510072,599.416,0.000,1936.000,1216.000,0.931422,1,0.510072,599.416,0.000,1936.000,1216.000,0.931422,0,0,,,,,11.622,11.947,11.605
47,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00048.jpg,1936,1216,1,0.399517,736.502,483.822,1162.099,982.088,0.130471,1,0.399600,736.499,483.814,1162.109,982.231,0.130519,1,0.399600,736.499,483.814,1162.109,982.231,0.130519,0,0,,,,,12.668,12.900,12.101
48,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00049.jpg,1936,1216,1,0.679454,729.784,486.095,1152.626,931.119,0.861123,1,0.679328,729.783,486.103,1152.622,930.811,0.860244,1,0.679328,729.783,486.103,1152.622,930.811,0.860244,0,0,,,,,11.969,11.828,12.107
49,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00050.jpg,1936,1216,1,0.734281,724.340,482.982,1146.125,1088.550,0.717275,1,0.734134,724.345,482.981,1146.104,1088.808,0.716459,1,0.733853,724.339,482.980,1146.092,1088.760,0.716490,1,1,4.458354,1.120767,1.488157,1.849431,12.778,12.226,13.275
50,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00051.jpg,1936,1216,1,0.664244,741.773,478.923,1157.369,1183.303,0.807343,1,0.663896,741.767,478.929,1157.341,1183.290,0.807727,1,0.663896,741.767,478.929,1157.341,1183.290,0.807633,0,0,,,,,12.734,12.325,12.436
51,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00052.jpg,1936,1216,1,0.629956,748.730,481.902,1164.236,1104.292,0.856307,1,0.629898,748.725,481.904,1164.211,1103.941,0.855839,1,0.629898,748.725,481.904,1164.211,1103.941,0.855839,0,0,,,,,14.335,13.063,12.856
52,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00053.jpg,1936,1216,1,0.629956,748.730,481.902,1164.236,1104.292,1.000000,1,0.629898,748.725,481.904,1164.211,1103.941,1.000000,1,0.629898,748.725,481.904,1164.211,1103.941,1.000000,0,0,,,,,12.565,12.198,11.971
53,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00054.jpg,1936,1216,1,0.509771,981.100,0.000,1936.000,766.681,0.055567,1,0.509405,981.177,0.000,1936.000,766.746,0.055557,1,0.509405,981.177,0.000,1936.000,766.746,0.055557,0,0,,,,,12.324,12.923,12.217
54,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00055.jpg,1936,1216,1,0.757506,759.687,481.571,1173.334,919.138,0.063857,1,0.757106,759.691,481.570,1173.318,919.034,0.063843,1,0.757106,759.691,481.570,1173.318,919.034,0.063843,0,0,,,,,11.948,11.664,12.008
55,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00056.jpg,1936,1216,1,0.482449,692.382,1.798,1936.000,615.644,0.062389,1,0.481840,692.469,1.799,1936.000,615.642,0.062392,1,0.481840,692.469,1.799,1936.000,615.642,0.062392,0,0,,,,,12.523,11.637,12.055
56,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00057.jpg,1936,1216,1,0.631828,748.538,481.675,1158.016,1093.103,0.057209,1,0.631421,748.536,481.677,1157.989,1092.904,0.057213,1,0.631421,748.536,481.677,1157.989,1092.904,0.057213,0,0,,,,,11.774,12.357,12.249
57,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00058.jpg,1936,1216,1,0.631828,748.538,481.675,1158.016,1093.103,1.000000,1,0.631421,748.536,481.677,1157.989,1092.904,1.000000,1,0.631421,748.536,481.677,1157.989,1092.904,1.000000,0,0,,,,,12.632,12.700,12.465
58,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00059.jpg,1936,1216,1,0.672399,745.480,481.802,1151.772,1108.208,0.954038,1,0.671928,745.474,481.805,1151.747,1108.141,0.953826,1,0.671928,745.474,481.805,1151.747,1108.141,0.953826,0,0,,,,,12.108,11.885,11.816
59,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00060.jpg,1936,1216,1,0.737330,748.847,479.493,1153.716,1124.791,0.958327,1,0.736923,748.841,479.496,1153.686,1124.670,0.958416,1,0.736588,748.836,479.486,1153.701,1124.582,0.958506,1,1,4.187640,0.739849,1.962189,1.485602,12.047,12.135,13.252
60,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00061.jpg,1936,1216,1,0.821574,752.216,482.223,1154.325,804.619,0.495079,1,0.821083,752.213,482.210,1154.296,804.462,0.494947,1,0.820661,752.210,482.216,1154.319,804.486,0.495027,1,1,3.558861,0.691729,1.693088,1.174044,12.775,12.010,13.282
61,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00062.jpg,1936,1216,1,0.821733,752.216,482.218,1154.328,804.651,0.999879,1,0.820661,752.210,482.216,1154.319,804.486,0.999844,1,0.820213,752.189,482.232,1154.391,804.531,0.999581,1,1,3.517056,0.801022,1.498969,1.217066,12.639,12.717,12.922
62,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00063.jpg,1936,1216,1,0.881074,758.524,481.306,1157.569,792.022,0.935887,1,0.879849,758.544,481.309,1157.640,791.961,0.935952,1,0.879487,758.544,481.355,1157.742,791.998,0.935903,1,1,2.587504,0.505125,1.027162,1.055217,12.450,13.115,12.642
63,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00064.jpg,1936,1216,1,0.757459,758.362,479.345,1155.812,784.221,0.964160,1,0.754921,758.379,479.416,1155.968,784.215,0.964734,1,0.754400,758.379,479.476,1156.078,784.275,0.964868,1,1,2.856279,0.536906,1.254781,1.064592,12.777,12.399,12.585
64,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00065.jpg,1936,1216,1,0.539100,662.173,0.000,1936.000,609.857,0.061303,1,0.535684,662.246,0.000,1936.000,609.792,0.061267,1,0.535684,662.246,0.000,1936.000,609.792,0.061252,0,0,,,,,12.653,11.863,11.738
65,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00066.jpg,1936,1216,1,0.821231,745.968,482.187,1139.972,825.615,0.058365,1,0.818748,745.908,482.290,1140.174,825.516,0.058333,1,0.818748,745.908,482.290,1140.174,825.516,0.058333,0,0,,,,,12.924,12.315,12.221
66,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00067.jpg,1936,1216,1,0.736602,748.450,483.371,1138.995,800.726,0.915965,1,0.733432,748.400,483.453,1139.195,800.923,0.916817,1,0.732589,748.375,483.516,1139.297,801.064,0.917336,1,1,3.150487,0.689582,1.296643,1.164262,12.335,12.273,13.023
67,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00068.jpg,1936,1216,1,0.852536,750.283,482.967,1137.298,808.254,0.967009,1,0.849541,750.216,483.128,1137.600,808.440,0.967579,1,0.848732,750.206,483.159,1137.724,808.552,0.967598,1,1,3.774987,0.878915,1.689678,1.206393,12.969,12.653,13.507
68,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00069.jpg,1936,1216,1,0.420552,1109.205,0.000,1936.000,652.579,0.007212,1,0.416277,1109.238,0.000,1936.000,652.268,0.007263,1,0.416277,1109.238,0.000,1936.000,652.268,0.007293,0,0,,,,,12.744,13.915,13.835
69,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00070.jpg,1936,1216,1,0.436101,744.943,478.537,1132.586,1194.478,0.005005,1,0.431386,744.839,478.586,1132.853,1193.702,0.005047,1,0.431386,744.839,478.586,1132.853,1193.702,0.005047,0,0,,,,,12.828,12.529,12.545
70,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00071.jpg,1936,1216,1,0.436101,744.943,478.537,1132.586,1194.478,1.000000,1,0.431386,744.839,478.586,1132.853,1193.702,1.000000,1,0.431386,744.839,478.586,1132.853,1193.702,1.000000,0,0,,,,,11.954,12.049,11.990
71,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00072.jpg,1936,1216,1,0.753833,742.468,482.592,1121.806,840.414,0.484348,1,0.748916,742.348,482.792,1121.908,840.425,0.484442,1,0.747571,742.322,482.816,1121.931,840.466,0.484479,1,1,3.539591,0.884490,1.495295,1.159806,12.859,12.628,12.957
72,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00073.jpg,1936,1216,1,0.840775,742.978,482.840,1117.780,826.665,0.949395,1,0.835940,742.830,483.059,1117.881,826.912,0.950047,1,0.834874,742.818,483.077,1117.894,827.007,0.950154,1,1,4.734069,0.977015,2.691521,1.065532,13.492,12.837,12.578
73,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00074.jpg,1936,1216,1,0.877252,744.517,482.592,1115.824,799.537,0.911859,1,0.872288,744.482,482.878,1115.741,800.371,0.913004,1,0.871369,744.486,482.914,1115.731,800.462,0.912969,1,1,3.641533,0.664783,1.955369,1.021380,13.596,12.654,12.756
74,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00075.jpg,1936,1216,1,0.868191,743.969,483.269,1113.930,821.952,0.926151,1,0.861654,743.833,483.517,1114.123,822.449,0.927680,1,0.860613,743.819,483.534,1114.145,822.509,0.927857,1,1,2.672292,0.716268,0.913300,1.042724,12.789,12.119,12.124
75,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00076.jpg,1936,1216,1,0.890673,747.501,483.393,1113.810,801.738,0.930673,1,0.884526,747.469,483.705,1113.635,802.624,0.930473,1,0.883688,747.478,483.725,1113.623,802.729,0.930457,1,1,2.232267,0.487683,0.782553,0.962030,13.044,12.489,13.222
76,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00077.jpg,1936,1216,1,0.887777,750.203,484.176,1110.430,792.664,0.952943,1,0.880673,750.191,484.445,1110.122,794.206,0.954744,1,0.879832,750.207,484.467,1110.106,794.311,0.954718,1,1,3.328801,0.684367,1.595741,1.048693,12.868,13.194,13.592
77,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00078.jpg,1936,1216,1,0.887636,750.208,484.181,1110.421,792.698,0.999833,1,0.879832,750.207,484.467,1110.106,794.311,0.999501,1,0.878959,750.226,484.473,1110.100,794.417,0.999571,1,1,3.042518,0.618964,1.383880,1.039674,13.682,13.298,13.112
78,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00079.jpg,1936,1216,1,0.898139,747.744,482.656,1106.747,797.500,0.963513,1,0.889401,747.773,483.071,1106.315,798.800,0.964690,1,0.888559,747.806,483.075,1106.313,798.855,0.964890,1,1,2.441591,0.487098,0.900053,1.054439,12.895,12.567,13.422
79,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00080.jpg,1936,1216,1,0.889599,749.082,479.916,1105.287,801.608,0.971246,1,0.879861,749.133,480.528,1104.831,802.569,0.972774,1,0.879017,749.179,480.528,1104.854,802.599,0.972873,1,1,2.433620,0.466893,0.928381,1.038346,12.660,12.561,12.624
80,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00081.jpg,1936,1216,1,0.869024,749.097,479.636,1106.933,817.691,0.947178,1,0.857838,749.190,480.254,1106.548,818.241,0.948101,1,0.856959,749.222,480.249,1106.543,818.230,0.948310,1,1,2.256140,0.502341,0.749426,1.004374,13.126,13.132,13.949
81,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00082.jpg,1936,1216,1,0.668146,758.819,483.670,1110.583,848.038,0.875172,1,0.648045,758.834,483.878,1111.043,847.469,0.876928,1,0.648045,758.834,483.878,1111.043,847.469,0.876947,0,0,,,,,13.308,12.799,12.676
82,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00083.jpg,1936,1216,1,0.882889,758.932,481.328,1109.141,805.487,0.873726,1,0.871173,758.882,481.840,1108.780,806.737,0.877261,1,0.870287,758.878,481.818,1108.774,806.769,0.877295,1,1,2.547890,0.701501,0.872811,0.973578,11.893,11.457,12.887
83,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00084.jpg,1936,1216,1,0.864537,761.146,483.421,1109.810,823.422,0.934040,1,0.850011,761.183,483.627,1110.315,823.757,0.935007,1,0.848986,761.176,483.590,1110.332,823.706,0.935236,1,1,2.938227,0.678726,1.192305,1.067195,13.450,13.125,13.224
84,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00085.jpg,1936,1216,1,0.877013,761.321,483.170,1107.271,822.090,0.987603,1,0.862092,761.362,483.354,1107.882,822.202,0.987198,1,0.861032,761.346,483.298,1107.875,822.220,0.987304,1,1,3.411665,0.833534,1.445740,1.132392,12.734,12.575,12.447
